description,quantity,unit,supplier,price,source
"Cold-rolled steel coils, grade SPCC",120,tonnes,ArcelorMittal India,2850.00,Invoice #INV-2341
"LDPE packaging film, 50 micron",500,kg,Reliance Polymers,1.20,PO-00892
"40ft container — Shenzhen to Mumbai port",3,shipments,Maersk Logistics,4500.00,BOL-77451
"Dell P2422H LED monitors (batch order)",25,units,Dell Technologies,18500.00,Invoice #DL-8820
"A4 copier paper reams 80gsm",200,reams,ITC Paperboards,320.00,Invoice #ITC-1192
"Insulated copper wiring 2.5mm",80,kg,Havells Ltd,540.00,PO-01033
"Last-mile courier — metro zone deliveries",45,deliveries,Delhivery,180.00,Receipt batch Nov
"PVC-U pipe fittings (SWR type)",300,pieces,Astral Ltd,890.00,Invoice #AST-4510
"EPDM rubber gaskets (industrial grade)",1000,pieces,Freudenberg Sealing,2200.00,PO-01299
"6061-T6 aluminium sheets 4mm",60,sheets,Hindalco Industries,1450.00,Invoice #HIN-7742
"Diesel — fleet vehicles (November fill)",800,litres,Indian Oil Corp,76.50,Fleet card statement
"Cardboard cartons double wall",400,units,Packza Packaging,120.00,Invoice #PKZ-0118
"Cloud compute AWS EC2 reserved instances",720,hours,Amazon Web Services,0.42,AWS invoice Nov-2024
"Epoxy adhesive — structural grade DP460",50,kg,3M Industrial,320.00,PO-01455
"Cotton work uniforms (batch order)",150,units,Raymond Workwear,890.00,Invoice #RW-3321
"Polyester fabric roll — 300 GSM",200,metres,Arvind Mills,65.00,Invoice #ARV-5510
"Natural gas — boiler heating",3000,cubic metres,GAIL India,28.50,Utility bill Nov-2024
"Solvent-based paint — primer coat",100,litres,Asian Paints Industrial,420.00,PO-01502
"Rice procurement — canteen supplies",500,kg,Local Agri Co-op,45.00,Receipt #LC-8810
"USB-C laptop chargers 65W (Lenovo)",50,units,Lenovo India,1200.00,Invoice #LEN-3390
"Stainless steel fasteners M8",2000,pieces,Sundram Fasteners,12.50,Invoice #SF-0091
"Mixed office consumables (Q4 order)",10,items,Amazon Business,5400.00,Expense claim #EXP-221
"Air cargo — urgent parts shipment DEL→SFO",2,shipments,FedEx Express,8200.00,AWB-99120334
"Palm oil — industrial lubricant base",400,kg,Wilmar International,82.00,Invoice #WI-2204
"Cleaning agents — industrial grade",80,litres,Diversey Holdings,55.00,PO-01588
